Engelse naam;;Soort (NL);Latijnse naam;Nederlandse naam;Soss.;Swak.;Etosh;Caprivi;Chobe;Bijz.
Hadada Ibis;Ibis;Ibissen;Bostrychia hagedash;Hadada-ibis;;;;Vaak;Vaak;
Glossy Ibis;Ibis;Ibissen;Plegadis falcinellus;Zwarte Ibis;;;Soms;Soms;Soms;
Cape Gannet;Gannet/Booby;Jan-van-genten;Morus capensis;Kaapse Jan-van-gent;Vaak;Vaak;;;;In gevaar
Australasian Gannet;Gannet/Booby;Jan-van-genten;Morus serrator;Pacifische Jan-van-gent;;;;;;Zeldzaam/Dwaalgast 
Red-footed Booby;Gannet/Booby;Jan-van-genten;Sula sula;Roodpootgent;;;;;;Zeldzaam/Dwaalgast 
Brown Booby;Gannet/Booby;Jan-van-genten;Sula leucogaster;Bruine Gent;;;;;;Zeldzaam/Dwaalgast 
Crowned Cormorant;Cormorant;Aalscholvers;Microcarbo coronatus;Kroonaalscholver;Zelden;Zelden;;;;Bijna uitgestorven
Long-tailed Cormorant;Cormorant;Aalscholvers;Microcarbo africanus;Afrikaanse Dwergaalscholver;Vaak;Vaak;Vaak;Vaak;Vaak;
Great Cormorant;Cormorant;Aalscholvers;Phalacrocorax carbo;Grote Aalscholver;Soms;Soms;Zelden;Soms;Soms;
Cape Cormorant;Cormorant;Aalscholvers;Phalacrocorax capensis;Kaapse Aalscholver;Vaak;Vaak;;;;In gevaar
Bank Cormorant;Cormorant;Aalscholvers;Phalacrocorax neglectus;Kustaalscholver;Soms;Soms;;;;In gevaar
African Darter;Darter;Slangenhalsvogels;Anhinga rufa;Afrikaanse Slangenhalsvogel;Soms;Soms;Soms;Soms;Soms;
Water Thick-knee;Thick-knee;Grielen;Burhinus vermiculatus;Watergriel;;;Vaak;Vaak;Vaak;
Spotted Thick-knee;Thick-knee;Grielen;Burhinus capensis;Kaapse Griel;Vaak;Vaak;Vaak;Vaak;Vaak;
African Oystercatcher;Oystercatcher;Scholeksters;Haematopus moquini;Afrikaanse Zwarte Scholekster;Soms;Soms;;;;
Eurasian Oystercatcher;Oystercatcher;Scholeksters;Haematopus ostralegus;Scholekster;;;;;;
Pied Avocet;Avocet/Stilt;Kluten;Recurvirostra avosetta;Kluut;Soms;Soms;Soms;Soms;Soms;
Black-winged Stilt;Avocet/Stilt;Kluten;Himantopus himantopus;Steltkluut;Soms;Soms;Soms;Soms;Soms;
American Golden Plover;Plover/Lapwing;Plevieren;Pluvialis dominica;Amerikaanse Goudplevier;;;;;;Zeldzaam/Dwaalgast 
Common Ringed Plover;Plover/Lapwing;Plevieren;Charadrius hiaticula;Bontbekplevier;Vaak;Vaak;Vaak;Vaak;Vaak;
Kittlitz's Plover;Plover/Lapwing;Plevieren;Charadrius pecuarius;Herdersplevier;Vaak;Vaak;Vaak;Vaak;Vaak;
Three-banded Plover;Plover/Lapwing;Plevieren;Charadrius tricollaris;Driebandplevier;Vaak;Vaak;Vaak;Vaak;Vaak;
White-fronted Plover;Plover/Lapwing;Plevieren;Charadrius marginatus;Vale Strandplevier;Vaak;Vaak;;;;
Kentish Plover;Plover/Lapwing;Plevieren;Charadrius alexandrinus;Strandplevier;;;;;;Zeldzaam/Dwaalgast 
Chestnut-banded Plover;Plover/Lapwing;Plevieren;Charadrius pallidus;Kaapse Plevier;Zelden;Zelden;Zelden;;;Bijna uitgestorven
Lesser Sand Plover;Plover/Lapwing;Plevieren;Charadrius mongolus;Mongoolse Plevier;;;;;;Zeldzaam/Dwaalgast 
Greater Sand Plover;Plover/Lapwing;Plevieren;Charadrius leschenaultii;Woestijnplevier;;;;;;Zeldzaam/Dwaalgast 
Caspian Plover;Plover/Lapwing;Plevieren;Charadrius asiaticus;Kaspische Plevier;;Soms;Soms;Soms;Soms;
Long-toed Lapwing;Plover/Lapwing;Plevieren;Vanellus crassirostris;Langteenkievit;;;;Soms;Soms;
Blacksmith Lapwing;Plover/Lapwing;Plevieren;Vanellus armatus;Smidsplevier;Vaak;Vaak;Vaak;Vaak;Vaak;
Spur-winged Lapwing;Plover/Lapwing;Plevieren;Vanellus spinosus;Sporenkievit;;;;;;Zeldzaam/Dwaalgast 
White-headed Lapwing;Plover/Lapwing;Plevieren;Vanellus albiceps;Witkruinkievit;;;;;Zelden;
Crowned Lapwing;Plover/Lapwing;Plevieren;Vanellus coronatus;Diadeemkievit;Vaak;Vaak;Vaak;Vaak;Vaak;
African Wattled Lapwing;Plover/Lapwing;Plevieren;Vanellus senegallus;Lelkievit;;;Soms;Soms;Soms;
Greater Painted-snipe;Painted-snipe;Goudsnippen;Rostratula benghalensis;Goudsnip;;Zelden;Zelden;Zelden;Zelden;
African Jacana;Jacana;Jacanas;Actophilornis africanus;Lelieloper;;Soms;Soms;Soms;Soms;
Lesser Jacana;Jacana;Jacanas;Microparra capensis;Dwergjacana;;;;Zelden;Zelden;
Whimbrel;Sandpiper/Snipe;Steltlopers;Numenius phaeopus;Regenwulp;Soms;Soms;;;;
Eurasian Curlew;Sandpiper/Snipe;Steltlopers;Numenius arquata;Wulp;Soms;Soms;;;;Bijna uitgestorven
Bar-tailed Godwit;Sandpiper/Snipe;Steltlopers;Limosa lapponica;Rosse Grutto;Soms;Soms;;;;Bijna uitgestorven
Black-tailed Godwit;Sandpiper/Snipe;Steltlopers;Limosa limosa;Grutto;;;;;;Bijna uitgestorven
Ruddy Turnstone;Sandpiper/Snipe;Steltlopers;Arenaria interpres;Steenloper;Vaak;Vaak;;;;
Great Knot;Sandpiper/Snipe;Steltlopers;Calidris tenuirostris;Grote Kanoet;;;;;;In gevaar
Red Knot;Sandpiper/Snipe;Steltlopers;Calidris canutus;Kanoet;Soms;Soms;;;;Bijna uitgestorven
Ruff;Sandpiper/Snipe;Steltlopers;Calidris pugnax;Kemphaan;;;;;;
Broad-billed Sandpiper;Sandpiper/Snipe;Steltlopers;Calidris falcinellus;Breedbekstrandloper;;;;;;Zeldzaam/Dwaalgast 
Curlew Sandpiper;Sandpiper/Snipe;Steltlopers;Calidris ferruginea;Krombekstrandloper;Vaak;Vaak;Vaak;Vaak;Vaak;Bijna uitgestorven
Sanderling;Sandpiper/Snipe;Steltlopers;Calidris alba;Drieteenstrandloper;Vaak;Vaak;;;Soms;
Baird's Sandpiper;Sandpiper/Snipe;Steltlopers;Calidris bairdii;Bairds Strandloper;;;;;;Zeldzaam/Dwaalgast 
Little Stint;Sandpiper/Snipe;Steltlopers;Calidris minuta;Kleine Strandloper;Vaak;Vaak;Vaak;Vaak;Vaak;
